channel,units_sold,engagement_score,segment
Retail,43.27352851851555,58.08632848078174,seg1
Retail,39.01986343846017,60.46623975894148,seg1
Online,82.67714678163046,60.8388882279064,seg2
Retail,44.47176152410266,61.54154615157859,seg2
Retail,39.62168269256467,56.77040927388336,seg2
Online,80.61940452643519,58.28372562577603,seg2
Online,73.97890077200134,60.35261969839358,seg1
Retail,42.07751307149005,61.20272166009163,seg3
Retail,34.10008953270897,56.75116567427305,seg2
Retail,35.550715694896255,64.44916194263632,seg2
Retail,39.938789066967786,64.32962703889285,seg1
Online,78.35293124043467,61.493323135266756,seg4
Retail,32.825182669822226,53.774849412605235,seg1
Retail,40.507169926058076,59.22457473218308,seg1
Retail,41.186509233185966,52.825405032798486,seg4
Online,71.74462205297081,57.91611065878275,seg1
Online,85.36235065787747,58.55087108632111,seg4
Online,71.45830398416471,55.025929944575935,seg1
Retail,39.0357226982511,54.70143465767508,seg3
Online,76.8728551301662,58.848064533916876,seg3
Online,80.16410081839292,61.56618277401032,seg3
Retail,47.19119760366878,63.81646083088826,seg2
Retail,44.34519664626913,73.31660315636191,seg_rare
Retail,39.501946840525676,67.44022268890858,seg3
Online,72.3673773406508,66.99030895739457,seg4
Online,76.68920330166596,52.67029613308569,seg4
Retail,36.63177406311963,51.789457966898624,seg3
Online,68.55842449014139,61.448760003804374,seg4
Online,81.91560925878755,58.90646877501688,seg3
Online,88.83080438964667,52.1920876058195,seg3
Retail,34.74991594462313,62.331881213143824,seg4
Retail,37.64036673933239,73.55845628336154,seg_rare
Retail,39.33811401216576,64.36775520897929,seg3
Retail,39.72066274974963,68.2551822042514,seg4
Retail,47.64789816696578,58.96673466704956,seg1
Online,84.20366621071769,57.15578721550584,seg1
Online,81.34705815253943,58.87556834874633,seg1
Retail,45.965429611720054,63.92222793935186,seg4
Online,90.14536110380556,60.52249190904901,seg4
Online,69.67792598439412,55.688060422997175,seg3
Retail,38.501443813360865,54.52056112408322,seg3
Retail,41.26288867777659,62.7891764391183,seg2
Retail,43.6751329218868,62.243108688939785,seg2
Online,72.73379293754604,60.731602806459065,seg4
Retail,35.382276716433914,64.87727553587452,seg4
Online,79.10006799373825,61.9845016889563,seg2
Online,70.9845067076013,57.940291109185154,seg2
Retail,43.38314494777943,57.003737056217894,seg4
Online,77.97386072286156,61.954501663570746,seg3
Retail,38.289414882865685,76.0150149354609,seg_rare
Online,76.23581401789268,55.51215044717768,seg4
Retail,38.4526182970556,66.85752098747636,seg4
Online,79.77306985069677,59.69674453477633,seg1
Online,76.05538485687131,61.94534078896681,seg1
Retail,39.52612274780053,64.82512877646339,seg3
Online,77.37697690299574,53.8555908151501,seg2
Online,80.77167767728179,56.61630945148877,seg2
Retail,46.48442596363336,62.924617541709566,seg4
Online,82.03758141498254,54.227513371996245,seg4
Retail,47.51659260208456,56.23888354304423,seg3
Online,76.28723237397716,57.53231220363811,seg3
Retail,34.032040388709085,57.21363593736559,seg3
Retail,47.488195577987916,56.73167901268461,seg3
Online,82.84030943663991,57.876584992301446,seg3
Online,91.2379752640385,56.706159663935225,seg4
Retail,43.3470909670483,64.55191624037626,seg2
Online,85.08829002831746,66.87092019864095,seg1
Retail,38.15590765776077,56.282704739575045,seg1
Online,88.45262851900178,56.54204003365702,seg1
Retail,42.74372559889165,61.0937552717241,seg3
Retail,42.508120615905206,63.03490080221794,seg2
Online,78.06430028356806,62.54845133124976,seg3
Retail,30.46815060734766,61.647187324463914,seg2
Retail,48.4976864837334,54.01090543057362,seg4
Online,71.2263784682729,60.62737593481673,seg4
Retail,51.299734933131305,52.35700448951122,seg1
Online,78.69321792404176,62.26352995450962,seg2
Retail,38.49903131599918,55.71642996802052,seg1
Retail,37.046150905684314,52.584776513969175,seg2
Online,78.78625460663727,55.065904225089746,seg3
Online,77.9176284073999,61.13454569533916,seg2
Online,85.24698274671627,63.856801937565635,seg1
Online,79.1422586940214,61.199233409079596,seg4
Online,81.37229961879981,57.40757882843056,seg3
Online,88.25349845593237,58.438454074553746,seg1
Retail,49.560094311659704,60.05795577990511,seg3
Online,72.74660650426712,63.12520724420197,seg2
Online,79.99554807071034,65.70688462659534,seg3
Retail,38.5868238196231,60.769230795275675,seg4
Retail,41.65987107744249,63.84430585445403,seg1
Online,77.67031314729584,61.4974813989503,seg2
Online,82.77290155945944,60.08897895416224,seg1
Retail,38.08288438534244,61.90535080102901,seg1
Retail,31.109935735207458,62.66081473983085,seg4
Online,80.01032786452974,57.72211091792601,seg2
Retail,38.936335164912194,59.47489739963,seg4
Online,83.00249257959774,58.16749282845596,seg2
Retail,40.54324185747365,59.636074935868926,seg1
Online,82.52649687098376,64.22379319665815,seg1
Online,87.30987813606762,54.653917800177226,seg2
