date,region,product,price,units_sold
2026-06-01,East,Widget C,44.85,26
2026-06-02,West,Widget C,42.14,50
2026-06-03,North,Widget B,17.45,33
2026-06-04,East,Widget C,,40
2026-06-05,East,Widget B,31.56,54
2026-06-06,West,Widget B,42.29,55
2026-06-07,North,Widget C,45.83,82
2026-06-08,North,Widget B,22.71,32
2026-06-09,East,Widget C,14.39,47
2026-06-10,South,Widget C,19.11,36
2026-06-11,,Widget A,27.07,27
2026-06-12,East,Widget C,42.71,30
2026-06-13,East,Widget A,44.42,62
2026-06-14,East,Widget C,10.27,81
2026-06-15,West,Widget C,30.42,39
2026-06-16,North,Widget A,26.69,32
2026-06-17,West,Widget A,18.87,32
2026-06-18,West,Widget C,14.78,42
2026-06-19,West,Widget B,23.49,49
2026-06-20,East,Widget A,47.71,70
2026-06-21,South,Widget B,22.92,74
2026-06-22,North,Widget B,30.74,37
2026-06-23,South,Widget B,38.11,24
2026-06-24,West,Widget A,24.54,48
2026-06-25,West,Widget B,48.86,23
2026-06-26,South,Widget A,48.49,29
2026-06-27,South,Widget B,20.06,63
2026-06-28,South,Widget C,29.88,43
2026-06-29,West,Widget C,22.03,25
2026-06-30,West,Widget A,21.38,42
2026-07-01,North,Widget C,11.47,31
2026-07-02,North,Widget C,34.37,37
2026-07-03,West,Widget B,30.1,25
2026-07-04,South,Widget A,12.05,80
2026-07-05,South,Widget B,21.14,76
2026-07-06,North,Widget B,46.32,52
2026-07-07,West,Widget B,19.57,20
2026-07-08,North,Widget B,15.79,62
2026-07-09,North,Widget B,29.57,50
2026-07-10,East,Widget B,49.42,25
